City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;Asian;1304564
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;White;84780
Camden;New Jersey;27.9;36437;39694;76131;1425;11317;3.0;NJ;Asian;1686
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;Asian;34019
Bethlehem;Pennsylvania;35.1;35861;38506;74367;4704;6295;2.46;PA;Asian;3759
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;Hispanic or Latino;1783
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;White;37057
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;Black or African-American;6016
Riverview;Florida;32.2;44210;45536;89746;6943;12240;3.22;FL;Hispanic or Latino;23317
Layton;Utah;29.5;37748;36394;74142;3811;4268;3.24;UT;American Indian and Alaska Native;1674
Birmingham;Alabama;35.6;102122;112789;214911;13212;8258;2.21;AL;Black or African-American;157985
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;American Indian and Alaska Native;182
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;American Indian and Alaska Native;2109
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;Hispanic or Latino;5378
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;Hispanic or Latino;120610
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;White;80551
Bellevue;Washington;37.4;70763;69051;139814;5382;54654;2.43;WA;White;82378
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;American Indian and Alaska Native;358
Nashua;New Hampshire;38.3;42926;45049;87975;5532;12693;2.46;NH;Asian;9685
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;Asian;30473
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;White;54976
Longmont;Colorado;36.8;43941;48280;92221;4925;10424;2.63;CO;Black or African-American;1782
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;Asian;2149
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;Asian;71737
Warwick;Rhode Island;42.6;39289;42409;81698;5799;5318;2.4;RI;Asian;2685
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;Hispanic or Latino;243190
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;American Indian and Alaska Native;1606
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;Black or African-American;3199
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.97;IL;Asian;7606
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Hispanic or Latino;15429
Shreveport;Louisiana;35.2;93138;103856;196994;14287;5658;2.53;LA;Hispanic or Latino;5081
Allen;Pennsylvania;33.5;60626;59581;120207;5691;19652;2.67;PA;American Indian and Alaska Native;1076
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;Asian;20724
Metairie;Louisiana;41.6;69515;76943;146458;7187;19871;2.39;LA;Hispanic or Latino;19703
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;Asian;4717
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;Hispanic or Latino;3496
Chattanooga;Tennessee;36.6;83640;92957;176597;10001;10599;2.4;TN;Hispanic or Latino;10918
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;Asian;14249
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;Black or African-American;62954
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;Hispanic or Latino;44342
North Charleston;South Carolina;30.7;56549;55315;111864;9651;8789;2.82;SC;Black or African-American;56734
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;American Indian and Alaska Native;677
Pompano Beach;Florida;42.5;56569;51202;107771;5145;32733;2.55;FL;Asian;1089
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;Black or African-American;4729
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;Hispanic or Latino;40559
Mesquite;Texas;34.6;69240;75884;145124;6438;26755;2.96;TX;Hispanic or Latino;56753
Albany;New York;32.8;47627;50825;98452;3643;11948;2.08;NY;Black or African-American;31303
Weston;Florida;38.6;32956;36991;69947;1507;30876;3.34;FL;Hispanic or Latino;36687
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;Hispanic or Latino;8086
League City;Texas;35.9;49354;48996;98350;6484;8361;2.72;TX;Asian;8163
Atlanta;Georgia;33.8;223960;239915;463875;18572;32016;2.15;GA;Black or African-American;245367
Lawrence;Kansas;27.4;45592;48324;93916;2986;8701;2.53;KS;Asian;6547
Saint Charles;Missouri;34.9;32054;36747;68801;4371;5274;2.33;MO;Asian;3392
Lafayette;Louisiana;31.7;64018;63643;127661;5206;5396;2.54;LA;American Indian and Alaska Native;1183
Lynchburg;Virginia;28.7;38614;41198;79812;4322;4364;2.48;VA;Asian;2910
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.78;CA;Asian;68095
Lake Forest;California;40.3;41515;40982;82497;3748;20784;2.76;CA;Black or African-American;3526
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;Hispanic or Latino;69209
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;Hispanic or Latino;180241
Modesto;California;35.2;104852;106405;211257;9855;39613;2.97;CA;Asian;19417
Renton;Washington;36.3;52779;47468;100247;5032;28962;2.57;WA;White;58251
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;Hispanic or Latino;19574
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;White;251155
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;American Indian and Alaska Native;4171
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;Hispanic or Latino;5449
Beaverton;Oregon;35.6;47325;49252;96577;4645;18933;2.46;OR;White;80975
Wilmington;Delaware;36.4;32680;39277;71957;3063;3336;2.45;DE;Black or African-American;44182
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;American Indian and Alaska Native;707
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Hispanic or Latino;5139
Louisville/Jefferson County metro government;Kentucky;37.5;298451;316938;615389;39364;37875;2.45;KY;Asian;18601
Boca Raton;Florida;47.3;44760;48466;93226;4367;21117;2.22;FL;American Indian and Alaska Native;556
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;White;165423
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;Hispanic or Latino;5400
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;Asian;3013
Sterling Heights;Michigan;39.6;64985;67077;132062;6970;34313;2.66;MI;White;112743
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;American Indian and Alaska Native;1516
Akron;Ohio;38.1;96886;100667;197553;12878;10024;2.24;OH;Hispanic or Latino;3684
Durham;North Carolina;33.2;121153;136445;257598;12528;38642;2.4;NC;Black or African-American;108088
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;Asian;15138
Corpus Christi;Texas;35.0;160488;163594;324082;25078;30834;2.69;TX;Hispanic or Latino;200737
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;Hispanic or Latino;88347
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;Black or African-American;26395
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;Black or African-American;2325
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;Asian;1378
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;Black or African-American;2265
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.72;TX;White;75823
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Asian;3688
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.72;TX;Asian;8183
Irving;Texas;32.3;117189;119428;236617;6207;86756;2.78;TX;American Indian and Alaska Native;2960
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;American Indian and Alaska Native;672
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.97;CO;Black or African-American;4569
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;White;18296
Allen;Texas;37.2;51324;46814;98138;3505;19649;3.04;TX;Black or African-American;13140
Somerville;Massachusetts;31.0;41028;39306;80334;2103;22292;2.43;MA;White;62927
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;Asian;24931
Arvada;Colorado;41.0;54870;60165;115035;8930;4921;2.49;CO;American Indian and Alaska Native;2370
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;Hispanic or Latino;18760
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;White;40182
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;Asian;13118
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;Black or African-American;139567
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;White;51516
San Angelo;Texas;32.8;49669;50744;100413;8412;7859;2.5;TX;American Indian and Alaska Native;548
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;White;48797
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;Hispanic or Latino;5361
San Marcos;California;35.4;45246;47688;92934;5189;21558;3.13;CA;Hispanic or Latino;35164
Broomfield;Colorado;36.8;31755;33310;65065;3966;5316;2.53;CO;Asian;5193
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Black or African-American;9425
